"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zmynd19",0.0898047069111115,-1.24579890198953,0.016,0.057,1
"Slc2a10",0.0898047069111115,0.797415607473861,0.016,0.057,1
"Larp1b",0.0898047069111115,-1.16335266907142,0.016,0.057,1
"Lrba",0.0898047069111115,-1.34035222390785,0.016,0.057,1
"Slc25a44",0.0898047069111115,-1.0312533841656,0.016,0.057,1
"Eya3",0.0898047069111115,-1.15435207673023,0.016,0.057,1
"Cpeb2",0.0898047069111115,-1.23678621712007,0.016,0.057,1
"Rab43",0.0898047069111115,-1.34510331146943,0.016,0.057,1
"AW146154",0.0898047069111115,-1.77477688668336,0.016,0.057,1
"2900076A07Rik",0.0898047069111115,-1.34923511409397,0.016,0.057,1
"Erlin2",0.0898047069111115,-1.07312960440118,0.016,0.057,1
"Siae",0.0898047069111115,0.581550193913991,0.016,0.057,1
"Cbl",0.0898047069111115,-1.18131947264589,0.016,0.057,1
"Stxbp5",0.0898047069111115,-0.812734331999375,0.016,0.057,1
"Aifm2",0.0898047069111115,-1.3983815297004,0.016,0.057,1
"Traf3",0.0898047069111115,-0.484282920629759,0.016,0.057,1
"Ercc6l2",0.0898047069111115,-0.268812161069369,0.016,0.057,1
"Nufip1",0.0898047069111115,-0.830114865204707,0.016,0.057,1
"Tfcp2",0.0898047069111115,-1.73101043294972,0.016,0.057,1
"Zfp52",0.0898047069111115,-0.852092276667838,0.016,0.057,1
"Kdm5d",0.0898047069111115,-1.57091658655921,0.016,0.057,1
"Uaca",0.0899336480315161,-0.376060707401133,0.083,0.17,1
"Ilk",0.0899867847855402,1.43919568494052,0.404,0.396,1
"Cnot2",0.0900069097866426,0.777188252144215,0.067,0.151,1
"Gar1",0.0902133726524163,0.131353814846462,0.057,0.132,1
"Ptpn11",0.090359927431895,0.238797564813914,0.093,0.189,1
"Slc15a4",0.0904115458786321,-1.01456349515916,0.036,0.094,1
"Mrpl32",0.0904724487724414,0.560641177719872,0.176,0.34,1
"Spg21",0.0905332566238154,0.678162012524115,0.124,0.245,1
"Stx5a",0.0908606113353476,0.529603024214663,0.114,0.226,1
