"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gabrg11",7.13021080003309e-76,0.133068343112535,0.071,0.039,1.55702413240323e-71,"C_6m","Gabrg1"
"Rccd11",8.73299257140375e-76,0.764857066908823,0.016,0.004,1.90702358781744e-71,"C_6m","Rccd1"
"9330162012Rik",9.39950807569362e-76,0.841882226727469,0.017,0.005,2.05257057848922e-71,"C_6m","9330162012Rik"
"Brca21",1.00697697574789e-75,0.332400522142431,0.02,0.006,2.19893562194066e-71,"C_6m","Brca2"
"Dmpk1",1.01371929045377e-75,0.13568974348175,0.032,0.013,2.21365881456389e-71,"C_6m","Dmpk"
"Stx1b1",1.02424718516756e-75,1.3395910633197,0.015,0.004,2.2366485782504e-71,"C_6m","Stx1b"
"Atrnl11",1.08073338201958e-75,0.207091451265607,0.018,0.005,2.35999748631615e-71,"C_6m","Atrnl1"
"5430405H02Rik",1.13821580239062e-75,0.169850006702597,0.036,0.015,2.4855218476804e-71,"C_6m","5430405H02Rik"
"P4ha2",1.16751624743026e-75,0.159358813429754,0.024,0.008,2.54950522951345e-71,"C_6m","P4ha2"
"Hydin",1.19603373565119e-75,0.755978456438283,0.013,0.003,2.61177886854151e-71,"C_6m","Hydin"
"Traf11",1.24364455637445e-75,0.951681039922402,0.014,0.004,2.71574661775488e-71,"C_6m","Traf1"
"Rab231",1.28549847713427e-75,0.119270104797132,0.038,0.017,2.80714302451811e-71,"C_6m","Rab23"
"Hbb-bt1",1.32471759108474e-75,2.14294493444354,0.012,0.002,2.89278580365174e-71,"C_6m","Hbb-bt"
"Thrsp",1.46943786869939e-75,0.353109824819052,0.158,0.106,3.20881147387887e-71,"C_6m","Thrsp"
"Ermard",1.75312960844988e-75,0.297291218726663,0.029,0.011,3.82830912597199e-71,"C_6m","Ermard"
"Sp7",2.25996690761384e-75,0.940567780134581,0.015,0.004,4.93508973615635e-71,"C_6m","Sp7"
"Ikzf41",2.91528352986409e-75,0.885920826377773,0.013,0.003,6.36610464416421e-71,"C_6m","Ikzf4"
"C77080",3.42771276926327e-75,0.125789133109658,0.013,0.003,7.48509637424021e-71,"C_6m","C77080"
"Cecr21",5.24904805379901e-75,0.389211495428648,0.028,0.011,1.14623462350809e-70,"C_6m","Cecr2"
"Pdgfrl1",8.01618517405327e-75,0.472748099670436,0.023,0.008,1.75049435645801e-70,"C_6m","Pdgfrl"
"Slc16a12",1.06391462415636e-74,0.188788884461909,0.017,0.005,2.32327036477023e-70,"C_6m","Slc16a12"
"1700001L19Rik2",1.33944177234663e-74,0.420210607757554,0.019,0.006,2.92493899827334e-70,"C_6m","1700001L19Rik"
"Bora",1.68304238271631e-74,1.85375762287984,0.011,0.002,3.67525965113761e-70,"C_6m","Bora"
"Carf1",2.25194410378297e-74,0.464219268654754,0.024,0.009,4.91757033943087e-70,"C_6m","Carf"
"Rps291",2.69531979207626e-74,0.226401400293051,0.875,0.757,5.88576982995694e-70,"C_6m","Rps29"
"Fam149a",3.37004440862908e-74,0.382444590660254,0.022,0.007,7.35916597512333e-70,"C_6m","Fam149a"
"Gfm21",3.40096345636292e-74,0.395546341548695,0.034,0.014,7.4266838996597e-70,"C_6m","Gfm2"
"Snhg181",3.58674727464376e-74,0.324787788696439,0.04,0.018,7.83238002363958e-70,"C_6m","Snhg18"
"Col18a1",4.65070906115781e-74,0.238796649921659,0.017,0.005,1.01557533768503e-69,"C_6m","Col18a1"
"Rorc",5.48242840482085e-74,0.78336121207668,0.013,0.003,1.19719789076073e-69,"C_6m","Rorc"
"Trim651",5.87388865341282e-74,1.14102194771252,0.017,0.005,1.28268106524576e-69,"C_6m","Trim65"
"Klhl211",5.91078019127472e-74,0.227716487144533,0.023,0.008,1.29073707036866e-69,"C_6m","Klhl21"
"Vps33a",7.90643046366534e-74,0.127654791957048,0.036,0.016,1.7265272203506e-69,"C_6m","Vps33a"
"Mid11",1.11528390168046e-73,0.572369399109645,0.033,0.014,2.43544545609963e-69,"C_6m","Mid1"
"Bcor",1.21302092933846e-73,0.175602567221418,0.047,0.022,2.64887380339639e-69,"C_6m","Bcor"
"Plxna2",1.86338018069637e-73,0.195761464058233,0.037,0.016,4.06906330058667e-69,"C_6m","Plxna2"
"Agt1",2.4341112821376e-73,0.369559253905337,0.215,0.154,5.31536880680388e-69,"C_6m","Agt"
"Cfap161",2.65374697324234e-73,0.297311779270349,0.017,0.005,5.7949872654693e-69,"C_6m","Cfap161"
"Enkur1",2.81677852445997e-73,0.139948853486079,0.028,0.011,6.15099926386323e-69,"C_6m","Enkur"
"Rapgef41",2.88091403940092e-73,0.466282943439495,0.067,0.036,6.29105198783979e-69,"C_6m","Rapgef4"
"Gm312431",4.46363190354296e-73,2.61592743723759,0.01,0.002,9.74723298776677e-69,"C_6m","Gm31243"
"Bvht",4.53500708244853e-73,0.62805765961174,0.043,0.02,9.90309496594285e-69,"C_6m","Bvht"
"Cacna2d21",4.60074894234536e-73,0.107370284665671,0.032,0.013,1.00466554653996e-68,"C_6m","Cacna2d2"
"Ppip5k21",5.40669405015756e-73,0.239705268671251,0.034,0.015,1.18065977973291e-68,"C_6m","Ppip5k2"
"Casc11",5.65235950266407e-73,1.12053109499817,0.014,0.004,1.23430574459675e-68,"C_6m","Casc1"
"C230035I16Rik",8.53821396805274e-73,1.05900671219194,0.015,0.004,1.86448978420368e-68,"C_6m","C230035I16Rik"
"Gm154461",1.07708536501561e-72,0.703387592570944,0.019,0.006,2.35203131158459e-68,"C_6m","Gm15446"
"2610020C07Rik",1.1254558832345e-72,0.714712576427003,0.013,0.003,2.45765801221918e-68,"C_6m","2610020C07Rik"
"Cep851",1.15048954501688e-72,0.211187360062858,0.023,0.008,2.51232401945337e-68,"C_6m","Cep85"
"Tmem2401",1.23057876704896e-72,1.2280547103119,0.015,0.004,2.68721485360481e-68,"C_6m","Tmem240"
"Nsun6",1.73498786403161e-72,0.157630496343834,0.047,0.023,3.78869299868583e-68,"C_6m","Nsun6"
"Zfp942",2.57279608512873e-72,0.174652446815923,0.028,0.011,5.61821481109562e-68,"C_6m","Zfp942"
"Klhl20",2.96026685153686e-72,0.19268287574786,0.031,0.012,6.46433472370105e-68,"C_6m","Klhl20"
"Nos1ap1",3.16723388230023e-72,0.143679645745985,0.026,0.01,6.91628862877902e-68,"C_6m","Nos1ap"
"Uaca",3.1910268943519e-72,0.308249277388189,0.044,0.021,6.96824542919625e-68,"C_6m","Uaca"
"St6galnac62",3.50047400416577e-72,0.116986312851946,0.036,0.016,7.64398508289678e-68,"C_6m","St6galnac6"
"Pex11",3.54829789079046e-72,0.151269009466109,0.03,0.012,7.74841810411914e-68,"C_6m","Pex1"
"Entpd61",3.66020848815014e-72,0.37835301977255,0.024,0.008,7.99279727557345e-68,"C_6m","Entpd6"
"Ghdc",3.99018504665379e-72,0.304726009827808,0.028,0.011,8.71336708637789e-68,"C_6m","Ghdc"
"Gm383931",4.20578064092922e-72,2.71088508505113,0.011,0.002,9.18416318559714e-68,"C_6m","Gm38393"
"1700028E10Rik",4.39110943536723e-72,1.83487803666516,0.01,0.002,9.58886567401142e-68,"C_6m","1700028E10Rik"
"Fbxl181",4.62039999558433e-72,0.745373634930726,0.018,0.005,1.00895674703575e-67,"C_6m","Fbxl18"
"Caprin2",6.87812359263483e-72,0.448070786354843,0.014,0.004,1.50197584892367e-67,"C_6m","Caprin2"
"Meis2",9.5160677601645e-72,0.126615716061418,0.062,0.033,2.07802371678712e-67,"C_6m","Meis2"
"Slc22a18",1.57250657223352e-71,0.721509161727633,0.011,0.002,3.43388260178633e-67,"C_6m","Slc22a18"
"Zbtb412",1.66261297483112e-71,0.116388052182377,0.038,0.017,3.63064795313871e-67,"C_6m","Zbtb41"
"Bmpr1b2",2.07284460990275e-71,0.28026938761103,0.042,0.019,4.52647077464465e-67,"C_6m","Bmpr1b"
