"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ehmt1",1.14023608498042e-09,-1.16268582218419,0.019,0.136,2.37043679706581e-05
"Ttc23",1.15632793649221e-09,-1.34300799335712,0.011,0.11,2.40389014717366e-05
"Etfb",1.17477883790984e-09,0.243030000595501,0.282,0.686,2.44224772613077e-05
"Phactr4",1.19154724575974e-09,-1.28403130411193,0.019,0.136,2.47710756920993e-05
"Pcmtd1",1.19643794856204e-09,0.111642261287542,0.105,0.331,2.48727485126563e-05
"Bex2",1.19771636387357e-09,0.101850947523596,0.113,0.347,2.48993254885676e-05
"Tfe3",1.20523856221782e-09,-0.38491830462498,0.011,0.11,2.50557044699462e-05
"Atp6v1f",1.20716947611106e-09,0.137910358183193,0.306,0.72,2.50958462388728e-05
"Syf2",1.21740195002403e-09,0.402125035282215,0.154,0.441,2.53085691390495e-05
"Parvb",1.22439348861795e-09,-3.16479418711503,0.005,0.085,2.54539162348785e-05
"Gtf2a2",1.23104055843901e-09,0.597347451979219,0.124,0.373,2.55921021693887e-05
"Aph1b",1.23650803918011e-09,-0.766710124476206,0.032,0.169,2.57057656265154e-05
"Ube2s",1.23978488846873e-09,0.606681080709981,0.173,0.475,2.57738880463765e-05
"Nova2",1.25606769881102e-09,-0.866839916835912,0.005,0.085,2.61123913905822e-05
"Parp3",1.25616393797595e-09,-0.671576734538826,0.011,0.11,2.61143921065821e-05
"Psmb3",1.26469873774656e-09,0.274938159471325,0.277,0.653,2.62918220590133e-05
"Herc2",1.26649074781994e-09,-0.735998332346462,0.046,0.203,2.63290761564288e-05
"Rps6ka5",1.27220293744765e-09,-0.982523435331363,0.005,0.085,2.64478268665992e-05
"Plagl1",1.27334752345578e-09,-1.64430295568538,0.025,0.153,2.64716216651223e-05
"Paip1",1.29044165283403e-09,0.19893760472196,0.041,0.195,2.68269915207667e-05
"Purg",1.3036668708055e-09,-5.55443672086181,0.003,0.076,2.71019305771754e-05
"Zfp846",1.3036668708055e-09,-4.82418910117832,0.003,0.076,2.71019305771754e-05
"Srek1",1.30932774628763e-09,-0.920548730328882,0.049,0.212,2.72196145175734e-05
"Tmem256",1.31151184050712e-09,0.433271510543668,0.287,0.686,2.72650196523025e-05
"Wapl",1.32536470662509e-09,-0.62868189259752,0.046,0.203,2.7553006886029e-05
"Sbno2",1.33337774190502e-09,-5.20490568855721,0.002,0.068,2.77195898764635e-05
"Zfp287",1.33337774190502e-09,-5.55451247596379,0.002,0.068,2.77195898764635e-05
"Lpcat1",1.33337774190502e-09,-6.08135523904244,0.002,0.068,2.77195898764635e-05
"E130102H24Rik",1.3365069434529e-09,-1.8064325451585,0.011,0.11,2.77846428474424e-05
"Ndufb4",1.33720841782763e-09,0.271954886299556,0.331,0.754,2.77992257982187e-05
"Arl6ip4",1.34017203799412e-09,-0.132298676014588,0.065,0.246,2.78608364978598e-05
"Synrg",1.34748893494866e-09,-2.14141995262263,0.019,0.136,2.80129474686477e-05
"C1qc",1.35194028041132e-09,4.29906369209591,0.393,0.127,2.8105486489471e-05
"Fitm2",1.35390257743073e-09,-5.54110093423973,0.002,0.068,2.81462806822074e-05
"Rnf31",1.35390257743073e-09,-5.69519215393025,0.002,0.068,2.81462806822074e-05
"Tpd52l2",1.35620000361404e-09,0.139696911999223,0.078,0.28,2.81940418751322e-05
"Fads1",1.36518946419644e-09,-0.199536605721259,0.117,0.347,2.83809237711797e-05
"Asap1",1.36836622513205e-09,-0.780286143942155,0.025,0.153,2.84469654542702e-05
"Gripap1",1.36836622513205e-09,-1.20315303127326,0.025,0.153,2.84469654542702e-05
"Pcgf3",1.37473525536288e-09,-4.98342754972072,0.002,0.068,2.85793712237389e-05
"Ankrd10",1.38183481195258e-09,-3.08041812419274,0.014,0.119,2.87269639056822e-05
"Atp5e",1.39752647906406e-09,-0.462278188698683,0.472,0.932,2.90531779732628e-05
"Rp9",1.40956887405455e-09,0.112649948337773,0.067,0.254,2.93035273227199e-05
"Snph",1.41647806158871e-09,-2.53282710771283,0.003,0.076,2.94471624223676e-05
"Map3k10",1.41647806158871e-09,-3.88550747188297,0.003,0.076,2.94471624223676e-05
"Pcid2",1.41647806158871e-09,-2.56520701548813,0.003,0.076,2.94471624223676e-05
"Pigz",1.41647806158871e-09,-3.52412239088846,0.003,0.076,2.94471624223676e-05
"Adnp2",1.41647806158871e-09,-3.89600503508426,0.003,0.076,2.94471624223676e-05
"Lin7a",1.41734216039828e-09,-5.59170961425468,0.002,0.068,2.94651261725198e-05
"Brf2",1.43618276423748e-09,-3.87786240615049,0.003,0.076,2.9856803485733e-05
"Zdhhc18",1.43912555812899e-09,-4.82159464233108,0.002,0.068,2.99179812279436e-05
"Plekhn1",1.43912555812899e-09,-4.92544106946412,0.002,0.068,2.99179812279436e-05
"Nrgn",1.43912555812899e-09,-5.86839161829636,0.002,0.068,2.99179812279436e-05
"Fggy",1.4453506247604e-09,-0.281673676279381,0.019,0.136,3.00473941381439e-05
"Zfp592",1.45615454301374e-09,-3.76549612886152,0.003,0.076,3.02719967947126e-05
"Dnajb12",1.45615454301374e-09,-2.11421730258249,0.003,0.076,3.02719967947126e-05
"Tsr2",1.45806007802095e-09,-0.597339545489436,0.019,0.136,3.03116109619776e-05
"Alkbh8",1.46123514127052e-09,-4.81743880252568,0.002,0.068,3.03776173518728e-05
